id,date,status,text,photo,parti
595979317872656,2019-12-11,Inactive,We kunnen winnen! Al meer dan 100.000 mensen ondersteunen de eerste burgerwet voor een minimumpensioen van 1.500 euro netto. En jij? www.1500netto.be/win,,pvda
460439471549956,2019-12-07,Inactive,"Gisteren kwamen in Frankrijk 1,5 miljoen mensen op straat. Ze zijn woedend om de geplande pensioenhervorming van president Macron. 🧐 De Franse protestbeweging vond inspiratie in ons land, maar omgekeerd is de protestbeweging daar op meer dan één vlak ook inspirerend voor ons. 👉 Bekijk hier Raoul Hedebouw in De Afspraak ;-)",,pvda
573700716738669,2019-12-06,Inactive,"“Als een multinational jarenlang mensen uitperst, dan vindt iedereen dat normaal. Maar als je voor de boterham van je kinderen op straat komt, ben je een misdadiger. Dat kan niet meer.” PVDA-volksvertegenwoordiger Gaby Colebunders neemt het op voor de werknemers van AB InBev, dat de lonen niet correct wil uitbetalen.  Lees ook: https://www.pvda.be/ab_inbev_pvda_eist_einde_aan_misbruik_gerechtelijke_procedures_in_sociale_conflicten",,pvda
2476778599232910,2019-12-05,Inactive,Word jij de 100.000ste ondertekenaar van de burgerwet voor een minimumpensioen van € 1.500 netto? www.1500netto.be/100k,,pvda
467760203871558,2019-12-03,Inactive,Politici moeten leven zoals de bevolking die ze vertegenwoordigen.,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/79442450_467760237204888_4300018688641204224_n.jpg?_nc_cat=106&_nc_ohc=B9D-JB0nD7gAX9S4PxB&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=0e5a039419ba1ae534a11571228fee68&oe=5EDB2D41,pvda
846153905801353,2019-12-03,Inactive,Politici moeten leven zoals de bevolking die ze vertegenwoordigen. LIKE als je akkoord bent.,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/79171635_846153942468016_2889234554537639936_n.jpg?_nc_cat=107&_nc_ohc=b2bOhv_wJNgAX-RhI8o&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=0cfe24e49ad604cbf020812061af842f&oe=5EA4AC73,pvda
872398329821478,2019-12-02,Inactive,"Hoezo, iedereen moet besparen? Aan de wachtlijsten in de zorg doet de regering niets, maar multinationals krijgen wel cadeaus… #StopJambon",,pvda
1174402182949301,2019-12-02,Inactive,"Hoezo, iedereen moet besparen? Aan de wachtlijsten in de zorg doet de regering niets, maar multinationals krijgen wel cadeaus… #StopJambon",,pvda
2507380452843425,2019-11-30,Inactive,"Hoezo, iedereen moet besparen? De regering bespaart De Lijn kapot, maar stopt vervuilende bedrijven wel miljoenen toe … #StopJambon",,pvda
1017553558583577,2019-11-30,Inactive,"Hoezo, iedereen moet besparen? De regering bespaart De Lijn kapot, maar stopt vervuilende bedrijven wel miljoenen toe … #StopJambon",,pvda
