,date,status,id,photo,text
38,27 nov 2019 - 31 déc 2019,Inactive,ID : 1495508130599681,,In het zuiden van Polen worden hele zones 'LGBT-vrij' verklaard 😳! Onder het beleid van de conservatieve PIS-partij staat de holebi- en transgemeenschap steeds meer onder druk. Petra De Sutter deed in het Europees Parlement een vurige oproep om als Europa een vuist te maken tegen de Poolse regering die het steeds minder nauw neemt met de mensenrechten. ✊  Op mensenrechten mogen we nooit inboeten. Het is tijd om ons met de hele EU pal achter de LGBT-gemeenschap te scharen. 🏳️‍🌈
39,Début de diffusion le 22 nov 2019,Actif,ID : 727540547757144,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/78244554_727552111089321_9183443362286403584_n.jpg?_nc_cat=102&_nc_ohc=f99BJUdbgzcAX-xhkwO&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=0e0c7af7c5000936fe317fcabb794ce6&oe=5ED99AEF,"👍 LIKE als je dit steunt.   Vrouwen moeten evenveel verdienen als mannen, logisch toch? 💪"
40,Début de diffusion le 22 nov 2019,Inactive,ID : 564968054319272,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/78197872_564978537651557_1437836449473888256_n.jpg?_nc_cat=106&_nc_ohc=mr-lUIG7aN8AX8STTHj&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=9889c4897d1d8edeb9a3cd68d3714cf6&oe=5ED31392,18 jaar geleden schafte de NMBS de laatste nachttrein af ☹️ Wij willen die terugbrengen 💚   👍 Like onze pagina als je dit steunt!
41,Début de diffusion le 22 nov 2019,Actif,ID : 442398916459430,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/78477608_442406559791999_4437000627528138752_n.jpg?_nc_cat=101&_nc_ohc=7l4u8JH_N5cAX-8Z2hR&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=e175b850e632e16676e07e6ee304d419&oe=5ED79578,"Minder kappen, meer planten. Simpel.   👍 LIKE als je dit steunt!"
42,22 nov 2019 - 31 déc 2019,Inactive,ID : 1517356801729820,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/78700479_1517356891729811_8980524849248075776_n.jpg?_nc_cat=104&_nc_ohc=lECgqf1oHUIAX_SB3TK&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=51b0921f87937c89ee1897dd812f299b&oe=5E9F1D16,18 jaar geleden schafte de NMBS de laatste nachttrein af ☹️ Wij willen die terugbrengen 💚   👍 Like onze pagina als je dit steunt!
43,Début de diffusion le 22 nov 2019,Inactive,ID : 419895078918489,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/77088347_419906768917320_2638754372527325184_n.jpg?_nc_cat=105&_nc_ohc=6Okh0-GP168AX88ktYQ&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=1f05b318c178ef9f34c789274a629a84&oe=5E9B640B,18 jaar geleden schafte de NMBS de laatste nachttrein af ☹️ Wij willen die terugbrengen 💚   👍 Like onze pagina als je dit steunt!
44,Début de diffusion le 22 nov 2019,Inactive,ID : 475951423033048,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/78154221_475960163032174_1732971483770126336_n.jpg?_nc_cat=105&_nc_ohc=AyNUmcTmxZ0AX8YfH8x&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=76f47ccca31cc387adde151cf9acda46&oe=5EA38B1A,"Minder kappen, meer planten. Simpel.   👍 LIKE als je dit steunt!"
45,Début de diffusion le 22 nov 2019,Actif,ID : 639472569921329,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/78491827_639476659920920_4795799511081418752_n.jpg?_nc_cat=105&_nc_ohc=2ees13b9LVcAX8KmPqd&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=e437a113b143e0f68caf07f17cb68972&oe=5E9A2357,"Minder kappen, meer planten. Simpel.   👍 LIKE als je dit steunt!"
46,Début de diffusion le 22 nov 2019,Actif,ID : 756938128155778,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/74325356_756944144821843_5982748972127617024_n.jpg?_nc_cat=105&_nc_ohc=aK7yzfmheMIAX_uON9Y&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=f6d2251b73a16378feb1890388c4046f&oe=5EA18B6A,"Wij willen een bos of park op 5 kilometer van je deur, voor elke Vlaming 💚  👍 LIKE als je dit steunt."
47,Début de diffusion le 22 nov 2019,Actif,ID : 583708232373449,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/78268349_583717935705812_3447884537026052096_n.jpg?_nc_cat=109&_nc_ohc=NSbFO8GDcxQAX_q0ckP&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=1dc418fe3a53df9ca7ecde9b3aa218bf&oe=5EA78ACE,"Minder kappen, meer planten. Simpel.   👍 LIKE als je dit steunt!"
